product_id,sku,name,description,category,subcategory,brand,price,cost,stock_quantity,is_active,created_at
PROD-7F8B4606,HUA-ELE-0000,Huawei Smartphone Le,Moindre prévenir employer prière monde émotion preuve plein choisir révolution cependant offrir silencieux devoir déclarer seuil.,electronics,Smartphone,Huawei,555.62,276.91,205,True,2023-04-26T05:41:36
PROD-8A15D5AE,APP-ELE-0001,Apple Smartphone Event,Regione vuoto idea passato compagno fiume civile solito evitare giardino sotto maestro compagnia mio comune studio adesso udire.,electronics,Smartphone,Apple,888.01,482.4,479,True,2023-06-24T15:02:42
PROD-D14AB91D,SON-ELE-0002,Sony Smartphone Bajo,Douleur rencontre résistance pendant exemple important tendre tapis seigneur sentiment repas.,electronics,Smartphone,Sony,529.14,282.57,136,True,2024-07-29T20:17:06
PROD-22F90F19,PHI-ELE-0003,Philips Laptop Loin,Phone weight medical even which suggest Mrs bag something land mission each something consumer view tax.,electronics,Laptop,Philips,1583.32,638.76,334,True,2024-06-19T15:46:25
PROD-C82F1F58,APP-ELE-0004,Apple Laptop Zacząć,Entire everyone sea safe true town car few debate during seven local better think anything so authority long kind live.,electronics,Laptop,Apple,592.19,257.88,157,True,2024-02-26T06:29:16
PROD-F54E29A3,XIA-ELE-0005,Xiaomi Laptop Secret,Kapelusz fabryka koncert syn dowód odwaga powodować Rumunia sprzedaż specjalista w wciąż fakt teatr.,electronics,Laptop,Xiaomi,1252.78,837.53,360,True,2023-09-13T06:16:56
PROD-A957BF8B,SAM-ELE-0006,Samsung Tablet Przyjmować,Muerte apenas quiere viene jefe objetivo estaba estuvo frente a aparece cabo necesidad cual.,electronics,Tablet,Samsung,709.97,484.33,188,True,2024-06-06T17:11:07
PROD-CCC8BB44,APP-ELE-0007,Apple Tablet Gran,Przyjemny przynosić granica płacić dziewiąty pracownik czuć czynić milion zwykle obiekt model osioł północny trwać.,electronics,Tablet,Apple,964.89,524.37,232,True,2024-09-02T08:34:52
PROD-0BBDB7EA,PHI-ELE-0008,Philips Tablet Viel,Rot gesund liegen lachen nein im sehr fangen fressen Wiese um heiß gehören sehr turnen gerade gelb Musik Sommer aber.,electronics,Tablet,Philips,497.9,304.01,467,True,2023-02-12T23:00:18
PROD-8FCC0F14,PHI-ELE-0009,Philips Tablet Kantoor,Sonntag alt Schuh erst schön Garten helfen Gesicht steigen gesund Monat er essen leise verstehen Buch fiel.,electronics,Tablet,Philips,840.6,544.44,390,True,2024-07-15T10:53:05
PROD-823FA26B,HUA-ELE-0010,Huawei Headphones Wkrótce,Treść temat dziecięcy zachowywać się może następować nazwisko litera stan.,electronics,Headphones,Huawei,280.96,156.68,270,True,2023-08-03T09:52:28
PROD-E84D44D3,SAM-ELE-0011,Samsung Headphones Risposta,Mes aspecto cada perdido consecuencia suerte temas función partidos cuales alto.,electronics,Headphones,Samsung,322.52,139.86,424,True,2024-03-20T20:31:12
PROD-0C7B9E91,PHI-ELE-0012,Philips Headphones Civil,Nacional cierta comercio ambiente modelo constitución creo psoe sean.,electronics,Headphones,Philips,93.69,52.56,84,True,2023-05-24T00:37:08
PROD-A5AD4138,PHI-ELE-0013,Philips Headphones Sera,Exprimer coucher vide dieu occasion toute changer passion grand riche retour sauver atteindre voisin faveur moment voyage.,electronics,Headphones,Philips,170.39,102.93,367,True,2024-09-05T17:13:50
PROD-7F8AAD4F,PHI-ELE-0014,Philips Smart Watch Księga,Raccogliere notevole vestito riuscire mondo scala smettere baciare termine parere.,electronics,Smart Watch,Philips,277.19,115.5,67,True,2024-08-07T00:34:08
PROD-E78EF677,LG-ELE-0015,LG Smart Watch Vitae,Maar voorbeeld zullen dichtbij houden duur oog los tevreden ster wit voorbeeld kort hamer.,electronics,Smart Watch,LG,324.56,184.23,344,True,2023-01-15T15:47:35
PROD-29E2831C,SAM-ELE-0016,Samsung TV Down,Ciascuno soluzione oltre ringraziare montagna piuttosto controllo seguito terzo straordinario pubblico odore conservare chiudere esso biondo monte.,electronics,TV,Samsung,1170.09,754.63,381,True,2024-08-28T10:14:51
PROD-7950F8D2,SAM-ELE-0017,Samsung TV Mensch,Fermare fabbrica dedicare cosa esperienza inglese domenica trasformare crescere francese.,electronics,TV,Samsung,398.64,200.66,32,True,2024-11-12T16:21:01
PROD-5354E55C,SAM-ELE-0018,Samsung TV Czarny,Liegen stilte ster klein lijken kop examen klein van.,electronics,TV,Samsung,2355.08,990.8,478,True,2023-05-17T00:02:26
PROD-9A3C6EF2,SON-ELE-0019,Sony TV Dolorem,Traverser quatre existence voyage garder creuser beaucoup livre jaune loi trois.,electronics,TV,Sony,1198.51,755.89,392,True,2023-01-06T15:15:14
PROD-38D3278C,XIA-ELE-0020,Xiaomi Camera Veel,Zeer boos kans hert berg winnen raken gebruiken seconde raam vak vlees afhangen zeker springen vraag.,electronics,Camera,Xiaomi,1451.92,743.87,456,True,2023-04-20T07:30:20
PROD-F010BA2F,HUA-ELE-0021,Huawei Camera Désir,Million cell like although other decide science fall pay statement information.,electronics,Camera,Huawei,1391.25,714.06,41,True,2024-12-28T05:44:24
PROD-E306E605,XIA-ELE-0022,Xiaomi Camera Sind,Wagen böse Dorf Lehrerin gehören offen weit Freude Geschichte Stadt ging warten Arbeit von Welt.,electronics,Camera,Xiaomi,1335.92,587.67,440,True,2024-02-24T00:32:29
PROD-B38720E3,APP-ELE-0023,Apple Camera Test,Brief grün Fahrrad immer beim zeigen Kopf ihr weg kam verstehen Teller.,electronics,Camera,Apple,1489.7,771.54,65,True,2023-08-30T21:29:32
PROD-41AB2D84,HUA-ELE-0024,Huawei Speaker Postępowanie,Real televisión instituto existencia gran figura principios civil primera hijos puerto.,electronics,Speaker,Huawei,50.22,20.43,152,True,2023-06-25T04:35:27
PROD-EF018219,XIA-ELE-0025,Xiaomi Speaker Consequatur,Volgende bouwen geboren een reeds horen zij resultaat naald ook voetbal taart compleet lang.,electronics,Speaker,Xiaomi,239.56,134.05,421,True,2024-03-26T00:12:45
PROD-B664C69B,ZAR-CLO-0026,Zara T-Shirt Small,Bedreven elektrisch duwen dansen arm trekken dom honderd ontvangen meisje ijzer plein vangen ook lood fit plaats nooit bruikbaar groente team.,clothing,T-Shirt,Zara,21.83,9.97,448,True,2023-09-19T22:52:52
PROD-B3F77380,NIK-CLO-0027,Nike T-Shirt Fragen,Rispetto lavoro bellezza sonno riferire divenire rivedere inizio allora natura battaglia vi serio cane provocare carattere fondo lasciare.,clothing,T-Shirt,Nike,16.42,9.82,314,True,2024-11-04T09:26:43
PROD-88D1702C,NIK-CLO-0028,Nike T-Shirt Hund,Seigneur d'autres âgé puisque événement objet cheveu simple maison réunir extraordinaire.,clothing,T-Shirt,Nike,25.59,10.75,304,False,2024-06-22T19:24:26
PROD-A98B1D92,UNI-CLO-0029,Uniqlo Jeans Heraus,Schenken Onkel versuchen Familie wie schön mehr wohnen ins Erde.,clothing,Jeans,Uniqlo,102.3,42.41,379,False,2023-11-08T08:48:41
PROD-97FA7D52,H&M-CLO-0030,H&M Jeans Ciento,Maken correct wij aan gespannen oefening heuvel water perfect zee bel kuil dapper veel tante uur wolk gemak.,clothing,Jeans,H&M,60.09,27.95,442,True,2024-05-16T19:53:25
PROD-AB53D36E,ADI-CLO-0031,Adidas Jeans Kopen,Science autorité ventre double suivant ce quartier triste cheveu heureux plante recherche acheter.,clothing,Jeans,Adidas,84.35,41.06,417,True,2024-02-09T09:03:55
PROD-EF45688B,LEV-CLO-0032,Levi's Jeans Quiero,Nisi doloremque ipsa reprehenderit molestiae nostrum corrupti sunt quidem quam soluta veniam aliquam saepe ducimus occaecati incidunt cumque quae sint laborum.,clothing,Jeans,Levi's,67.7,39.22,344,True,2023-06-24T11:28:13
PROD-77A3CC06,ZAR-CLO-0033,Zara Jacket Commodi,Spegnere porre sicuro vario industriale personaggio sotto durare quale dove diretto mente indicare.,clothing,Jacket,Zara,225.49,156.88,266,True,2023-10-05T00:38:54
PROD-CF197926,ZAR-CLO-0034,Zara Jacket Accusantium,Doloribus libero nihil pariatur aut quos provident natus saepe fugiat maxime unde fugit nobis nihil recusandae veritatis nemo.,clothing,Jacket,Zara,111.28,63.1,302,True,2024-08-16T10:33:50
PROD-0B8CB446,UNI-CLO-0035,Uniqlo Sneakers Lire,Snijden baby publiek lichaam maag verzameling avondeten koorts uitzoeken stoel leiden vroeger foto dus poes horen.,clothing,Sneakers,Uniqlo,150.81,85.47,24,True,2024-12-16T02:31:37
PROD-299FD214,UNI-CLO-0036,Uniqlo Sneakers Vechten,Support effect stand general wind eat land answer leader yard enjoy soldier decide side natural focus husband.,clothing,Sneakers,Uniqlo,149.7,95.17,163,True,2024-08-29T14:18:10
PROD-EA0B207A,ADI-CLO-0037,Adidas Dress Verlieren,30 osiągnąć żydowski łyżka zwłaszcza abugida gdzie cebula rana słodki.,clothing,Dress,Adidas,64.99,29.58,275,True,2024-05-11T16:40:41
PROD-85FFB6E9,GAP-CLO-0038,GAP Dress Sonne,Glad slapen jas uitzoeken vos studie zee honderd brengen oorzaak vroeger schudden.,clothing,Dress,GAP,56.04,36.83,73,True,2024-08-10T19:13:33
PROD-B182DE7D,NIK-CLO-0039,Nike Dress Hund,At quae totam optio sequi corporis excepturi explicabo consequatur harum sapiente qui.,clothing,Dress,Nike,96.49,66.61,285,True,2024-04-21T10:58:41
PROD-E0627114,ADI-CLO-0040,Adidas Hoodie Iste,Saluer descendre choix volonté aller de pourtant danger sonner haute rocher chasser effacer vérité signer joindre haut.,clothing,Hoodie,Adidas,51.32,25.61,40,True,2023-11-17T06:16:06
PROD-D294A987,GAP-CLO-0041,GAP Hoodie Verstehen,Oog vriend knie gezond trui kap uit leiden kast week gehoorzamen noch bibliotheek schip hond verandering sex trouwen oom boete wanneer.,clothing,Hoodie,GAP,58.75,32.94,424,True,2024-02-20T19:49:55
PROD-59E74AC3,ZAR-CLO-0042,Zara Hoodie Congresso,Printemps pauvre mien voici inspirer mouvement arriver ouvrage lequel haine un comment ministre mine assister.,clothing,Hoodie,Zara,59.14,34.39,20,True,2024-01-06T04:57:39
PROD-2B692296,GAP-CLO-0043,GAP Shorts Beide,Università dove direttore studiare alto oro insistere rifiutare cattolico grazie.,clothing,Shorts,GAP,57.08,35.24,286,True,2023-08-29T15:33:42
PROD-4DD9F3C9,ADI-CLO-0044,Adidas Shorts Español,Retourner livrer froid réflexion visage noir social vide arriver rappeler noir remercier autorité au garçon claire corde violent remarquer.,clothing,Shorts,Adidas,62.47,31.23,489,True,2024-10-11T03:18:42
PROD-850C46F3,BOS-HOM-0045,Bosch Vacuum Cleaner Antworten,Żywy sprawa wąski łuk papież umożliwiać wobec podstawa pacjent granica nazywać.,home_garden,Vacuum Cleaner,Bosch,580.04,252.43,386,True,2024-07-03T08:20:13
PROD-0431A4BE,BOS-HOM-0046,Bosch Vacuum Cleaner Vreemd,Tanto hombres punto ahí reunión esa julio sí problemas hacerlo así vamos hechos sido la hospital por señor.,home_garden,Vacuum Cleaner,Bosch,446.81,273.06,203,True,2023-01-22T11:29:58
PROD-8F93EED1,DYS-HOM-0047,Dyson Coffee Machine Capello,Opa Lehrerin Mann ziehen braun Schiff die helfen durch kam unter Spiel.,home_garden,Coffee Machine,Dyson,320.43,164.76,273,True,2024-09-24T12:47:53
PROD-ADD3CCE8,DYS-HOM-0048,Dyson Coffee Machine Mieszkaniec,Thousand soldier build various various blue raise operation cold between cover choice party front lawyer probably story six want.,home_garden,Coffee Machine,Dyson,140.55,77.84,254,True,2023-09-20T19:11:17
PROD-FF175AE2,GAR-HOM-0049,Gardena Coffee Machine Lors,Wollen leben Stelle auf Bauer zum langsam unten richtig so neben Vater Blume.,home_garden,Coffee Machine,Gardena,213.32,139.07,468,True,2024-12-09T06:26:00
PROD-67981196,DYS-HOM-0050,Dyson Coffee Machine Tellen,Ensuite honte couche triste grain habitude baisser aimer bout miser ombre empire voler rejeter.,home_garden,Coffee Machine,Dyson,193.88,110.27,113,True,2024-02-14T18:14:49
PROD-B2780D70,DYS-HOM-0051,Dyson Lamp Cup,Tempora quibusdam necessitatibus cupiditate et aliquid adipisci vitae harum explicabo modi reprehenderit placeat inventore.,home_garden,Lamp,Dyson,90.93,52.3,368,True,2024-01-31T03:42:18
PROD-17AAC98F,BOS-HOM-0052,Bosch Lamp Autorità,Immense conseil danser ensuite prévenir lendemain mort ordre après figure.,home_garden,Lamp,Bosch,44.5,20.87,291,True,2024-12-18T22:25:44
PROD-8594B902,BLA-HOM-0053,Black+Decker Chair En,Vivre voile salut faute secours appuyer chanter descendre plaine soumettre goût morceau société parce que cours.,home_garden,Chair,Black+Decker,212.65,128.75,131,True,2023-11-14T20:06:15
PROD-2D3C47A3,PHI-HOM-0054,Philips Chair Just,Groen vreemde vangen mes paard plat komen schouder lip reizen gebeuren praten brood vriend mes echt.,home_garden,Chair,Philips,290.63,172.2,251,True,2023-05-10T23:56:31
PROD-9190BD15,GAR-HOM-0055,Gardena Chair Paciente,Niets grootmoeder ontdekken brandstof bruin veel vogel wolk ochtend min cadeau zus maken breed.,home_garden,Chair,Gardena,247.74,111.68,368,True,2023-01-30T12:57:14
PROD-0C9333CF,BLA-HOM-0056,Black+Decker Table Eenzaam,Dolores nostrum ipsa consequuntur nisi aliquam ut quisquam deleniti distinctio.,home_garden,Table,Black+Decker,494.94,340.11,268,False,2023-02-03T23:42:22
PROD-BB6E77BC,IKE-HOM-0057,IKEA Table Claim,Tentare fornire controllo piangere godere circa energia assoluto confronto contenere poiché intero sperare.,home_garden,Table,IKEA,475.98,285.81,391,False,2024-10-17T02:31:52
PROD-E17CC68E,GAR-HOM-0058,Gardena Plant Pot Semblable,Va queda algún estaba él dólares para cuarto éxito varios ser abril tiempos y el puede obras sol asociación.,home_garden,Plant Pot,Gardena,18.26,11.18,4,True,2024-03-13T18:59:16
PROD-78A11418,PHI-HOM-0059,Philips Plant Pot Adipisci,Wykonanie głównie klasztor owca sukces bydło opowiadać lud blady ochrona istnienie ilość przyszłość 100 niebo efekt wyraz stowarzyszenie pojemnik.,home_garden,Plant Pot,Philips,23.93,14.01,341,True,2023-10-13T21:28:22
PROD-F388FC8C,GAR-HOM-0060,Gardena Garden Tools Set Lay,Fue dirección hacerlo ocasión rafael hecho objetivo parece camino juicio visto.,home_garden,Garden Tools Set,Gardena,87.54,35.19,282,True,2023-12-11T18:45:47
PROD-F10DFED1,IKE-HOM-0061,IKEA Garden Tools Set Map,Ferire grigio quale correre crescere consiglio contenere spettacolo politica passato succedere nazione rifiutare immaginare piangere.,home_garden,Garden Tools Set,IKEA,92.53,44.64,500,True,2023-11-02T02:52:25
PROD-1F6FDF64,BLA-HOM-0062,Black+Decker Garden Tools Set Lachen,Officiis error rerum quo numquam amet dolor mollitia culpa fugit maxime debitis ipsam possimus harum pariatur earum quia natus.,home_garden,Garden Tools Set,Black+Decker,126.58,76.23,412,True,2024-05-13T01:32:43
PROD-C9C066B8,NIK-SPO-0063,Nike Running Shoes Opleiding,Fumer intention soldat certain tout engager trace or pur sorte plus.,sports,Running Shoes,Nike,187.53,104.51,123,True,2023-03-08T14:29:49
PROD-B04A64B5,REE-SPO-0064,Reebok Running Shoes Across,System finish top data character defense subject guy training on stock little region face big.,sports,Running Shoes,Reebok,94.34,47.77,407,True,2024-11-30T16:26:49
PROD-1523B41C,UND-SPO-0065,Under Armour Yoga Mat Dort,Net pistool dit object makkelijk zomer scherp vriendelijk zingen rekenmachine deel.,sports,Yoga Mat,Under Armour,44.38,20.99,356,True,2023-03-17T09:29:45
PROD-7C426997,DEC-SPO-0066,Decathlon Yoga Mat Central,Kleden dragen afval scheiden vanmorgen wens opa duur vork ziekenhuis winter ongeluk vol zoon volgende bescherm controle heet.,sports,Yoga Mat,Decathlon,68.0,28.84,439,True,2024-12-13T01:43:11
PROD-2A10FCA1,NIK-SPO-0067,Nike Yoga Mat Da,Éclat ressembler repousser éviter vite léger palais nombreux vol façon détail loup vision tandis que aimer.,sports,Yoga Mat,Nike,20.98,10.78,282,True,2024-12-04T13:38:46
PROD-F2FDE149,NIK-SPO-0068,Nike Dumbbells Set Bald,Direction voyager essuyer donc vous personne petit escalier amuser sommeil tôt acheter mourir éloigner.,sports,Dumbbells Set,Nike,148.48,63.08,432,True,2024-12-03T13:45:04
PROD-F1C4B800,PUM-SPO-0069,Puma Dumbbells Set Administracyjny,Schoon goud kist kat mooi zulke langzaam slapen computer.,sports,Dumbbells Set,Puma,125.2,82.3,48,True,2024-07-12T13:18:52
PROD-DB1E4648,NIK-SPO-0070,Nike Dumbbells Set Fuerte,Drame banc hôtel plante révolution tenir situation supporter ailleurs cependant reconnaître dernier comprendre aucun mort demander bataille avancer.,sports,Dumbbells Set,Nike,68.06,45.63,354,True,2024-07-26T01:25:14
PROD-4104AA70,UND-SPO-0071,Under Armour Dumbbells Set Capitare,Offen vom kochen von stark Bruder dann Schuh er sieht Bild Blume Woche Abend Stein Fenster baden Bett Geschichte mal.,sports,Dumbbells Set,Under Armour,75.09,50.85,350,True,2024-09-27T00:15:14
PROD-574EA830,REE-SPO-0072,Reebok Bicycle Voler,Samochodowy ogół Egipt łagodny przyjaźń dusza wzrost itp. oczekiwać prawda wzrok mysz badanie światło 70 znaleźć istotny gotować utwór wysokość.,sports,Bicycle,Reebok,725.49,329.23,435,True,2024-04-12T05:46:43
PROD-D6FAEAEA,ADI-SPO-0073,Adidas Bicycle Na,Actual suerte campaña tenido bastante generales incluso texto tiene ni palabras conocimiento quizá.,sports,Bicycle,Adidas,668.63,418.35,364,True,2023-03-04T02:24:21
PROD-4FA91F9F,NIK-SPO-0074,Nike Bicycle Osoba,Nihil totam facere perspiciatis perspiciatis aperiam ea saepe iste quia laboriosam libero quis et voluptatum.,sports,Bicycle,Nike,438.42,249.54,290,True,2023-06-27T04:18:32
PROD-A5464934,UND-SPO-0075,Under Armour Bicycle Auf,Liberare lettera terreno smettere vero levare su lasciare chi resistere indicare allontanare certamente facile volere perfetto.,sports,Bicycle,Under Armour,740.63,416.36,196,True,2023-10-12T01:19:46
PROD-084C7CF4,DEC-SPO-0076,Decathlon Tennis Racket Leader,Nehmen einfach brauchen hin deshalb gleich am hin gegen wohnen mich.,sports,Tennis Racket,Decathlon,152.11,83.7,498,True,2023-05-28T12:51:04
PROD-F0A79D30,NIK-SPO-0077,Nike Tennis Racket Planeta,Metal lina kąt daleki wydarzenie element pokonać samochodowy restauracja niektóry republika potrzebować pomoc przeciwko zamiar dopiero cześć.,sports,Tennis Racket,Nike,103.31,67.32,174,True,2024-06-15T07:45:26
PROD-781224A5,REE-SPO-0078,Reebok Football Plat,Consectetur eligendi quam rem sint fuga voluptas aperiam ipsum impedit distinctio eveniet doloremque sit est totam voluptate ratione nam neque.,sports,Football,Reebok,48.32,30.54,15,True,2024-06-26T09:48:22
PROD-B2C4B6DA,UND-SPO-0079,Under Armour Football Compter,Nuovo tale proprio parecchio secolo dio nostro strada europeo stamattina giudicare chiudere fatto moglie letto succedere udire quarto attendere già contatto.,sports,Football,Under Armour,56.21,28.48,481,True,2024-07-06T22:55:11
PROD-1269D229,ADI-SPO-0080,Adidas Football Haus,East plan force station lot certainly evening floor world painting movie station position whatever our build safe save.,sports,Football,Adidas,72.09,43.12,43,True,2024-02-11T14:47:17
PROD-1E5E1765,PUM-SPO-0081,Puma Football Madre,Schudden verschrikkelijk hebben even hart andere proberen land kennis tellen zuid lijken kleur dik liggen hobby wie.,sports,Football,Puma,82.04,50.37,42,True,2023-08-03T08:04:14
PROD-97FDA2F9,DEC-SPO-0082,Decathlon Fitness Tracker Voisin,Serce chodzić katastrofa światło ciotka pół ramię łóżko minerał pamiętać średni kiedyś rodzic wodny.,sports,Fitness Tracker,Decathlon,205.78,91.84,199,True,2024-05-14T21:57:52
PROD-78F57A58,NIK-SPO-0083,Nike Fitness Tracker Mayoría,Argue response car ask attack charge mission vote dog senior win full include seem manage nation modern politics.,sports,Fitness Tracker,Nike,67.3,45.96,227,True,2024-06-23T12:01:58
PROD-C9395F2B,PUM-SPO-0084,Puma Fitness Tracker Minute,Ipsum beatae tenetur ea dolores officia nam amet sapiente dolorem aliquam dolor.,sports,Fitness Tracker,Puma,69.45,29.6,220,True,2023-04-29T13:14:35
PROD-E47C1127,HAC-BOO-0085,Hachette Fiction Novel Lesen,Giustizia pericolo grazie mercato elemento alcuno pubblico impossibile attento controllo ampio dedicare mandare formare avanzare.,books,Fiction Novel,Hachette,17.16,7.0,181,True,2024-01-31T11:13:06
PROD-1513ECFE,HAC-BOO-0086,Hachette Fiction Novel Hund,Mari terminer quelqu'un drame militaire long circonstance couper offrir espérer envie.,books,Fiction Novel,Hachette,20.96,10.42,197,False,2023-11-01T23:11:57
PROD-BDE1F7B5,MAC-BOO-0087,Macmillan Fiction Novel Totam,Me productos viejo fuerzas camino cosas también película miedo temas nuestro habría sean volvió pie tendrá vía.,books,Fiction Novel,Macmillan,16.76,7.13,461,True,2023-12-27T05:28:53
PROD-397C46BB,HAR-BOO-0088,HarperCollins Fiction Novel Raise,Succès sembler curieux aimer action satisfaire simple court trop flamme envie vivant obliger colline là minute drôle voilà signer.,books,Fiction Novel,HarperCollins,20.44,9.22,194,True,2023-03-02T07:57:02
PROD-5F07BD72,SIM-BOO-0089,Simon & Schuster Non-Fiction Book A,Anyone action ever a knowledge rock which best happy position wife score health evidence president father alone build center lead.,books,Non-Fiction Book,Simon & Schuster,19.25,8.54,85,True,2023-04-04T11:01:15
PROD-A767940F,MAC-BOO-0090,Macmillan Non-Fiction Book Up,Za ci układ okresowy zaraz kino delikatny towar wskazywać Jan Egipt ilość należeć.,books,Non-Fiction Book,Macmillan,20.09,12.75,184,True,2023-01-24T05:20:28
PROD-66A60E75,HAR-BOO-0091,HarperCollins Non-Fiction Book Modern,Kunst zien ooit basis beneden teen groep grof meel uit als graf vinden gehoorzamen liniaal aanbod raam.,books,Non-Fiction Book,HarperCollins,31.46,17.26,315,True,2024-03-10T03:28:43
PROD-1C17590D,HAR-BOO-0092,HarperCollins Technical Manual Orzeł,Du beau faire ruine même faux tâche promettre mauvais.,books,Technical Manual,HarperCollins,47.28,32.37,170,True,2024-07-25T01:01:38
PROD-7F2B92E1,MAC-BOO-0093,Macmillan Technical Manual Puro,Hund kurz grün gar Tier sitzen legen mehr Hand jeder nicht war ging halten krank so viel dort auf lesen.,books,Technical Manual,Macmillan,77.24,38.53,171,True,2024-04-10T02:18:07
PROD-3C3FC714,HAC-BOO-0094,Hachette Children's Book Unire,Dem Tisch erschrecken Schluss Bild immer da leise auf Brot aber Wiese rufen dort Familie schwarz Glas damit Seite.,books,Children's Book,Hachette,9.31,4.62,485,True,2024-03-01T23:51:43
PROD-2987CBBD,MAC-BOO-0095,Macmillan Children's Book Niet,Ook storm schaduw zoon geboorte proberen dier schip student snel vork ziek tweede.,books,Children's Book,Macmillan,12.34,8.51,495,True,2023-04-23T02:58:56
PROD-347ABD3E,MAC-BOO-0096,Macmillan Children's Book Voluptate,Estuvo nivel situación silencio marzo tener su equipo agua llamado análisis uno grupos.,books,Children's Book,Macmillan,23.45,14.88,166,True,2023-11-24T17:06:45
PROD-8A435E17,MAC-BOO-0097,Macmillan Children's Book Provincia,Feel hold decade investment operation long pass among man all floor all red technology himself much better read per go.,books,Children's Book,Macmillan,13.21,8.98,102,True,2023-01-22T05:25:59
PROD-DFE64E7E,HAR-BOO-0098,HarperCollins Cookbook Baby,Przemysł szyja ruch ojczyzna zbiornik dokonać artykuł płaszcz księżyc uśmiech.,books,Cookbook,HarperCollins,35.45,20.03,487,True,2023-09-08T18:46:47
PROD-2E29F89D,HAR-BOO-0099,HarperCollins Cookbook Fuerte,Mięsień Rosja strumień następny dziwny jako wiara oni chleb czytać technika kłopot zakładać.,books,Cookbook,HarperCollins,28.15,13.72,354,False,2023-07-16T16:04:13
